Data,Cars
2011-01-01,67610
2011-02-01,67610
2011-03-01,67610
2012-01-01,77577
2012-02-01,77577
2012-03-01,77577
2013-01-01,75906
2013-02-01,75906
2013-03-01,75906
2014-01-01,52522
2014-02-01,52522
2014-03-01,52522
2015-01-01,92108
2015-02-01,92108
2015-03-01,92108
2016-01-01,105236
2016-02-01,105236
2016-03-01,105236
2017-01-01,127098
2017-02-01,127098
2017-03-01,127098
2018-01-01,141872
2018-02-01,141872
2018-03-01,141872
2019-01-01,140998
2019-02-01,140998
2019-03-01,140998
2020-01-01,108842
2020-02-01,108842
2020-03-01,108842
2021-01-01,118668
2021-02-01,118668
2021-03-01,118668
2022-01-01,102326
2022-02-01,102326
2022-03-01,102326
2023-01-01,123396
2023-02-01,123396
2023-03-01,123396
2011-04-01,69213
2011-05-01,69213
2011-06-01,69213
2012-04-01,71236
2012-05-01,71236
2012-06-01,71236
2013-04-01,72085
2013-05-01,72085
2013-06-01,72085
2014-04-01,77795
2014-05-01,77795
2014-06-01,77795
2015-04-01,86412
2015-05-01,86412
2015-06-01,86412
2016-04-01,106486
2016-05-01,106486
2016-06-01,106486
2017-04-01,122628
2017-05-01,122628
2017-06-01,122628
2018-04-01,136499
2018-05-01,136499
2018-06-01,136499
2019-04-01,140091
2019-05-01,140091
2019-06-01,140091
2020-04-01,72945
2020-05-01,72945
2020-06-01,72945
2021-04-01,125995
2021-05-01,125995
2021-06-01,125995
2022-04-01,110838
2022-05-01,110838
2022-06-01,110838
2023-04-01,116307
2023-05-01,116307
2023-06-01,116307
2011-07-01,63622
2011-08-01,63622
2011-09-01,63622
2012-07-01,57697
2012-08-01,57697
2012-09-01,57697
2013-07-01,65816
2013-08-01,65816
2013-09-01,65816
2014-07-01,69525
2014-08-01,69525
2014-09-01,69525
2015-07-01,80826
2015-08-01,80826
2015-09-01,80826
2016-07-01,92850
2016-08-01,92850
2016-09-01,92850
2017-07-01,109003
2017-08-01,109003
2017-09-01,109003
2018-07-01,132654
2018-08-01,132654
2018-09-01,132654
2019-07-01,133951
2019-08-01,133951
2019-09-01,133951
2020-07-01,116184
2020-08-01,116184
2020-09-01,116184
2021-07-01,106275
2021-08-01,106275
2021-09-01,106275
2022-07-01,104869
2022-08-01,104869
2022-09-01,104869
2023-07-01,112282
2023-08-01,112282
2023-09-01,112282
2011-10-01,74148
2011-11-01,74148
2011-12-01,74148
2012-10-01,66701
2012-11-01,66701
2012-12-01,66701
2013-10-01,77176
2013-11-01,77176
2013-12-01,77176
2014-10-01,82517
2014-11-01,82517
2014-12-01,82517
2015-10-01,96991
2015-11-01,96991
2015-12-01,96991
2016-10-01,113486
2016-11-01,113486
2016-12-01,113486
2017-10-01,131922
2017-11-01,131922
2017-12-01,131922
2018-10-01,129371
2018-11-01,129371
2018-12-01,129371
2019-10-01,146113
2019-11-01,146113
2019-12-01,146113
2020-10-01,134423
2020-11-01,134423
2020-12-01,134423
2021-10-01,99893
2021-11-01,99893
2021-12-01,99893
2022-10-01,103532
2022-11-01,103532
2022-12-01,103532
2023-10-01,125273
2023-11-01,125273
2023-12-01,125273
