Data,Osoby
2011-01-01,2104986
2011-02-01,2150233
2011-03-01,2133916
2011-04-01,2043516
2011-05-01,1962587
2011-06-01,1883299
2011-07-01,1863175
2011-08-01,1855336
2011-09-01,1861689
2011-10-01,1867570
2011-11-01,1914936
2011-12-01,1982676
2012-01-01,2121518
2012-02-01,2168156
2012-03-01,2141906
2012-04-01,2072640
2012-05-01,2013936
2012-06-01,1964445
2012-07-01,1953184
2012-08-01,1964706
2012-09-01,1978987
2012-10-01,1994872
2012-11-01,2058142
2012-12-01,2136815
2013-01-01,2295744
2013-02-01,2336686
2013-03-01,2314453
2013-04-01,2255710
2013-05-01,2176337
2013-06-01,2109145
2013-07-01,2093103
2013-08-01,2083209
2013-09-01,2083116
2013-10-01,2075163
2013-11-01,2116032
2013-12-01,2157883
2014-01-01,2260662
2014-02-01,2255909
2014-03-01,2182205
2014-04-01,2079049
2014-05-01,1986710
2014-06-01,1912541
2014-07-01,1878520
2014-08-01,1853190
2014-09-01,1821948
2014-10-01,1784814
2014-11-01,1799779
2014-12-01,1825180
2015-01-01,1918599
2015-02-01,1918727
2015-03-01,1860644
2015-04-01,1782181
2015-05-01,1702078
2015-06-01,1622276
2015-07-01,1585667
2015-08-01,1563538
2015-09-01,1539371
2015-10-01,1516928
2015-11-01,1530597
2015-12-01,1563339
2016-01-01,1647457
2016-02-01,1652656
2016-03-01,1600455
2016-04-01,1521814
2016-05-01,1456873
2016-06-01,1392460
2016-07-01,1361499
2016-08-01,1346868
2016-09-01,1324114
2016-10-01,1307970
2016-11-01,1313620
2016-12-01,1335155
2017-01-01,1397115
2017-02-01,1383376
2017-03-01,1324217
2017-04-01,1252696
2017-05-01,1202103
2017-06-01,1151647
2017-07-01,1139986
2017-08-01,1136126
2017-09-01,1117113
2017-10-01,1069515
2017-11-01,1067666
2017-12-01,1081746
2018-01-01,1133738
2018-02-01,1126730
2018-03-01,1092177
2018-04-01,1042545
2018-05-01,1002153
2018-06-01,967900
2018-07-01,961769
2018-08-01,958603
2018-09-01,947393
2018-10-01,937339
2018-11-01,950549
2018-12-01,968888
2019-01-01,1023083
2019-02-01,1016702
2019-03-01,984739
2019-04-01,938280
2019-05-01,906040
2019-06-01,877093
2019-07-01,868398
2019-08-01,865492
2019-09-01,851151
2019-10-01,840518
2019-11-01,849628
2019-12-01,866374
2020-01-01,922197
2020-02-01,919865
2020-03-01,909442
2020-04-01,965798
2020-05-01,1011689
2020-06-01,1026471
2020-07-01,1029507
2020-08-01,1027955
2020-09-01,1023746
2020-10-01,1018377
2020-11-01,1025723
2020-12-01,1046432
2021-01-01,1090365
2021-02-01,1099538
2021-03-01,1078443
2021-04-01,1053794
2021-05-01,1026727
2021-06-01,993394
2021-07-01,974870
2021-08-01,960813
2021-09-01,934674
2021-10-01,910930
2021-11-01,898803
2021-12-01,895203
2022-01-01,927112
2022-02-01,921760
2022-03-01,902091
2022-04-01,877967
2022-05-01,850221
2022-06-01,818044
2022-07-01,810231
2022-08-01,806943
2022-09-01,801666
2022-10-01,796002
2022-11-01,800160
2022-12-01,812301
2023-01-01,857589
2023-02-01,864781
2023-03-01,846868
2023-04-01,821916
2023-05-01,802318
2023-06-01,783520
2023-07-01,782449
2023-08-01,782504
2023-09-01,775987
2023-10-01,770446
2023-11-01,773403
2023-12-01,788229
2024-01-01,837063
