date,value
2011-01-01,108.41
2011-02-01,110.28
2011-03-01,112.79
2011-04-01,111.05
2011-05-01,106.81
2011-06-01,105.07
2011-07-01,105.7
2011-08-01,108.59
2011-09-01,113.25
2011-10-01,113.56
2011-11-01,114.46
2011-12-01,114.54
2012-01-01,113.49
2012-02-01,111.05
2012-03-01,108.47
2012-04-01,107.59
2012-05-01,109.6
2012-06-01,109.15
2012-07-01,107.55
2012-08-01,104.36
2012-09-01,101.03
2012-10-01,99.47
2012-11-01,98.58
2012-12-01,97.05
2013-01-01,97.59
2013-02-01,99.24
2013-03-01,99.16
2013-04-01,98.43
2013-05-01,97.25
2013-06-01,98.12
2013-07-01,98.99
2013-08-01,100.47
2013-09-01,100.17
2013-10-01,99.85
2013-11-01,99.23
2013-12-01,99.44
2014-01-01,99.11
2014-02-01,98.26
2014-03-01,98.41
2014-04-01,98.82
2014-05-01,98.76
2014-06-01,97.44
2014-07-01,96.92
2014-08-01,97.32
2014-09-01,97.24
2014-10-01,98.19
2014-11-01,97.67
2014-12-01,96.76
2015-01-01,96.98
2015-02-01,96.93
2015-03-01,96.72
2015-04-01,95.95
2015-05-01,96.53
2015-06-01,97.62
2015-07-01,97.82
2015-08-01,96.64
2015-09-01,96.97
2015-10-01,97.16
2015-11-01,97.72
2015-12-01,98.1
2016-01-01,97.97
2016-02-01,98.48
2016-03-01,98.46
2016-04-01,99.47
2016-05-01,100.69
2016-06-01,100.53
2016-07-01,101.22
2016-08-01,101.99
2016-09-01,101.57
2016-10-01,101.92
2016-11-01,103.57
2016-12-01,107.8
2017-01-01,108.33
2017-02-01,108.04
2017-03-01,107.63
2017-04-01,107.23
2017-05-01,103.6
2017-06-01,102.21
2017-07-01,102.01
2017-08-01,102.68
2017-09-01,103.48
2017-10-01,103.09
2017-11-01,102.08
2017-12-01,99.51
2018-01-01,99.66
2018-02-01,99.1
2018-03-01,99.97
2018-04-01,100.72
2018-05-01,103.73
2018-06-01,105.36
2018-07-01,105.46
2018-08-01,104.99
2018-09-01,104.67
2018-10-01,104.76
2018-11-01,103.51
2018-12-01,101.51
2019-01-01,101.89
2019-02-01,103.01
2019-03-01,103.26
2019-04-01,103.43
2019-05-01,101.76
2019-06-01,99.94
2019-07-01,99.3
2019-08-01,98.78
2019-09-01,98.78
2019-10-01,97.3
2019-11-01,98.65
2019-12-01,100.16
2020-01-01,99.6
2020-02-01,98.09
2020-03-01,96.92
2020-04-01,95.48
2020-05-01,96.26
2020-06-01,98.54
2020-07-01,98.64
2020-08-01,98.53
2020-09-01,98.52
2020-10-01,100.23
2020-11-01,100.76
2020-12-01,101.68
2021-01-01,103.55
2021-02-01,106.18
2021-03-01,111.26
2021-04-01,117.71
2021-05-01,115.62
2021-06-01,113.2
2021-07-01,116.26
2021-08-01,118.03
2021-09-01,118.63
2021-10-01,120.63
2021-11-01,124.16
2021-12-01,122.71
2022-01-01,123.13
2022-02-01,130.0
2022-03-01,129.36
2022-04-01,126.49
2022-05-01,126.26
2022-06-01,127.25
2022-07-01,125.93
2022-08-01,124.66
2022-09-01,124.15
2022-10-01,122.04
2022-11-01,121.07
2022-12-01,120.05
2023-01-01,116.95
2023-02-01,105.67
2023-03-01,103.16
2023-04-01,101.14
2023-05-01,98.13
2023-06-01,94.93
2023-07-01,92.73
2023-08-01,99.7
2023-09-01,92.46
2023-10-01,92.53
2023-11-01,91.56
2023-12-01,91.06
