Data,Turysci
2011-01-01,1215786
2012-01-01,1360960
2013-01-01,1352509
2014-01-01,1415184
2015-01-01,1518140
2016-01-01,1712855
2017-01-01,1847429
2018-01-01,2019667
2019-01-01,2124118
2020-01-01,2291506
2021-01-01,213149
2022-01-01,1733979
2023-01-01,2213510
2024-01-01,2232273
2011-02-01,1232497
2012-02-01,1360374
2013-02-01,1364136
2014-02-01,1471216
2015-02-01,1618946
2016-02-01,1820325
2017-02-01,1907901
2018-02-01,2045505
2019-02-01,2187680
2020-02-01,2378371
2021-02-01,697443
2022-02-01,1976996
2023-02-01,2303247
2011-03-01,1449978
2012-03-01,1567050
2013-03-01,1490075
2014-03-01,1656789
2015-03-01,1751285
2016-03-01,1868981
2017-03-01,2107293
2018-03-01,2205113
2019-03-01,2401899
2020-03-01,881365
2021-03-01,651958
2022-03-01,2233197
2023-03-01,2506116
2011-04-01,1510034
2012-04-01,1639105
2013-04-01,1665928
2014-04-01,1706223
2015-04-01,1886291
2016-04-01,2238153
2017-04-01,2285368
2018-04-01,2467756
2019-04-01,2460560
2020-04-01,86386
2021-04-01,379809
2022-04-01,2378446
2023-04-01,2680332
2011-05-01,2006688
2012-05-01,2147447
2013-05-01,2171759
2014-05-01,2393934
2015-05-01,2486087
2016-05-01,2692655
2017-05-01,2847226
2018-05-01,3012555
2019-05-01,3280645
2020-05-01,387177
2021-05-01,1101217
2022-05-01,2876125
2023-05-01,3098519
2011-06-01,2254963
2012-06-01,2153083
2013-06-01,2395297
2014-06-01,2559119
2015-06-01,2751569
2016-06-01,3021650
2017-06-01,3250518
2018-06-01,3389729
2019-06-01,3605839
2020-06-01,1314252
2021-06-01,2252173
2022-06-01,3475155
2023-06-01,3581790
2011-07-01,2472530
2012-07-01,2651820
2013-07-01,2760470
2014-07-01,2888982
2015-07-01,3213236
2016-07-01,3562000
2017-07-01,3755086
2018-07-01,3926772
2019-07-01,4059520
2020-07-01,2711895
2021-07-01,3592764
2022-07-01,4018542
2023-07-01,4108779
2011-08-01,2465980
2012-08-01,2661899
2013-08-01,2831122
2014-08-01,3023564
2015-08-01,3290501
2016-08-01,3673076
2017-08-01,3803479
2018-08-01,4067560
2019-08-01,4319590
2020-08-01,3208081
2021-08-01,3854142
2022-08-01,4162095
2023-08-01,4196047
2011-09-01,2158102
2012-09-01,2243597
2013-09-01,2242779
2014-09-01,2422058
2015-09-01,2564382
2016-09-01,2988738
2017-09-01,3123243
2018-09-01,3267168
2019-09-01,3347843
2020-09-01,2194007
2021-09-01,2994328
2022-09-01,3371838
2023-09-01,3568440
2011-10-01,1857400
2012-10-01,1930419
2013-10-01,2032574
2014-10-01,2200460
2015-10-01,2298723
2016-10-01,2518407
2017-10-01,2671256
2018-10-01,2863790
2019-10-01,2987993
2020-10-01,1363224
2021-10-01,2661755
2022-10-01,3122519
2023-10-01,2983069
2011-11-01,1542736
2012-11-01,1561283
2013-11-01,1644771
2014-11-01,1770903
2015-11-01,1859672
2016-11-01,2086069
2017-11-01,2273641
2018-11-01,2436125
2019-11-01,2596441
2020-11-01,586655
2021-11-01,2016846
2022-11-01,2533348
2023-11-01,2526391
2011-12-01,1309922
2012-12-01,1358351
2013-12-01,1449718
2014-12-01,1575546
2015-12-01,1703224
2016-12-01,1925399
2017-12-01,2116904
2018-12-01,2194190
2019-12-01,2295963
2020-12-01,476050
2021-12-01,1783388
2022-12-01,2366764
2023-12-01,2472961
